recipe_title,category,subcategory,ingredients,directions,num_ingredients,num_steps,normalized_recipe_name,clean_ingredients,core_ingredients_for_similarity,clean_ingredient_count,core_ingredient_count,direction_text,action_sequence,mean_similarity_to_dataset,mean_ingredient_similarity_to_dataset,mean_process_similarity_to_dataset
Cucumber and Tomato Salad with Mayo,Kosher,Kosher Salads,"[""4 medium fresh tomatoes, cut into 1 inch chunks"", ""1 large cucumber, sliced"", ""\u00bd red onion, diced"", ""\u00bc cup mayonnaise"", ""2 cloves garlic, minced"", ""2 teaspoons fresh ground black pepper"", ""salt to taste""]","[""Toss together tomatoes, cucumber, onion, mayonnaise, and garlic in a large serving bowl. Season with pepper and salt.""]",7,1,cucumber and tomato salad with mayo,"[""tomato"", ""cucumber"", ""onion"", ""mayonnaise"", ""garlic"", ""black pepper"", ""salt""]","[""tomato"", ""cucumber"", ""onion""]",7,3,"Toss together tomatoes, cucumber, onion, mayonnaise, and garlic in a large serving bowl. Season with pepper and salt.","[""toss"", ""season""]",0.5509922,0.6276943,0.11634702
Sweet and Tangy Thai Cucumber Salad,Low Calorie,Low-Calorie Salads,"[""\u00bd cup white sugar"", ""\u00bd cup hot water"", ""\u00bc cup distilled white vinegar"", ""1 teaspoon salt"", ""1 large cucumber, thinly sliced"", ""1 red onion, thinly sliced""]","[""Whisk sugar, hot water, vinegar, and salt together in a bowl until sugar dissolved; stir in cucumber and onion. Refrigerate at least 1 hour to soften vegetables and reduce onion pungency.""]",6,1,sweet and tangy thai cucumber salad,"[""white sugar"", ""water"", ""distilled white vinegar"", ""salt"", ""cucumber"", ""onion""]","[""white sugar"", ""distilled white vinegar"", ""cucumber"", ""onion""]",6,4,"Whisk sugar, hot water, vinegar, and salt together in a bowl until sugar dissolved; stir in cucumber and onion. Refrigerate at least 1 hour to soften vegetables and reduce onion pungency.","[""stir"", ""refrigerate""]",0.55092114,0.6288221,0.109482706
Cucumber Tomato Salad,Picnic Recipes,Picnic Recipes,"[""1 cup water"", ""\u00bd cup distilled white vinegar"", ""\u00bc cup vegetable oil"", ""\u00bc cup sugar"", ""1 teaspoon salt, or to taste"", ""1 teaspoon freshly ground black pepper, or to taste"", ""3 cucumbers, peeled and sliced \u00bc-inch thick"", ""3 tomatoes, cut into wedges"", ""1 onion, sliced and separated into rings""]","[""Gather all ingredients."", ""Whisk water, vinegar, oil, sugar, salt, and pepper together in a large bowl until smooth."", ""Add cucumbers, tomatoes, and onion and stir to coat."", ""Cover bowl with plastic wrap; refrigerate for at least 2 hours for best flavor results."", ""Enjoy!""]",9,5,cucumber tomato salad,"[""water"", ""distilled white vinegar"", ""vegetable oil"", ""sugar"", ""salt"", ""freshly black pepper"", ""cucumber"", ""tomato"", ""onion""]","[""distilled white vinegar"", ""cucumber"", ""tomato"", ""onion""]",9,4,"Gather all ingredients. Whisk water, vinegar, oil, sugar, salt, and pepper together in a large bowl until smooth. Add cucumbers, tomatoes, and onion and stir to coat. Cover bowl with plastic wrap; refrigerate for at least 2 hours for best flavor results. Enjoy!","[""whisk"", ""add"", ""cover""]",0.53740805,0.6121241,0.11401739
Tomato Cucumber Salad with Mint,Kosher,Kosher Salads,"[""\u2153 cup red wine vinegar"", ""1 tablespoon white sugar"", ""1 teaspoon salt"", ""2 large cucumbers, peeled, seeded, and cut into 1/2-inch slices"", ""3 large tomatoes, seeded and chopped"", ""\u2154 cup chopped red onion"", ""\u00bd cup chopped fresh mint"", ""2 tablespoons olive oil"", ""salt and pepper to taste""]","[""In a large bowl, combine vinegar, sugar, and salt. Mix in cucumbers, and marinate 1 hour, stirring occasionally."", ""Gently toss tomatoes, onion, mint, and olive oil with the marinated cucumbers. Season with salt and pepper.""]",9,2,tomato cucumber salad with mint,"[""red wine vinegar"", ""white sugar"", ""salt"", ""cucumber"", ""tomato"", ""onion"", ""mint"", ""olive oil"", ""salt pepper""]","[""red wine vinegar"", ""white sugar"", ""cucumber"", ""tomato"", ""onion"", ""mint""]",9,6,"In a large bowl, combine vinegar, sugar, and salt. Mix in cucumbers, and marinate 1 hour, stirring occasionally. Gently toss tomatoes, onion, mint, and olive oil with the marinated cucumbers. Season with salt and pepper.","[""combine"", ""marinate"", ""toss"", ""season""]",0.5097229,0.5755326,0.13680072
Mom's Marinated Cucumbers,Kosher,Kosher Salads,"[""3 large cucumbers"", ""1 teaspoon salt"", ""\u00bc cup white sugar"", ""\u00bc cup distilled white vinegar"", ""\u00bc cup chopped onion"", ""\u215b cup water"", ""\u00bd teaspoon celery seed""]","[""Peel cucumbers and slice wafer-thin; sprinkle with salt. Let stand for 30 minutes, then squeeze cucumbers to release moisture."", ""Mix sugar, vinegar, onion, water, and celery seed together in a medium bowl until well combined. Add cucumbers and stir until evenly coated."", ""Cover and refrigerate for 1 hour.""]",7,3,mom s marinated cucumbers,"[""cucumber"", ""salt"", ""white sugar"", ""distilled white vinegar"", ""onion"", ""water"", ""celery seed""]","[""cucumber"", ""white sugar"", ""distilled white vinegar"", ""onion"", ""celery seed""]",7,5,"Peel cucumbers and slice wafer-thin; sprinkle with salt. Let stand for 30 minutes, then squeeze cucumbers to release moisture. Mix sugar, vinegar, onion, water, and celery seed together in a medium bowl until well combined. Add cucumbers and stir until evenly coated. Cover and refrigerate for 1 hour.","[""peel"", ""squeeze"", ""mix"", ""add"", ""cover""]",0.5058549,0.5761905,0.10728655
Shiraz Salad,Diabetic,Diabetic Salads,"[""2 small cucumbers, diced"", ""1 tomato, diced"", ""1 onion, diced"", ""2 tablespoons lemon juice"", ""1 teaspoon chopped fresh mint"", ""salt and ground black pepper to taste""]","[""Mix cucumbers, tomato, onion, lemon juice, mint, salt, and pepper together in a bowl.""]",6,1,shiraz salad,"[""cucumber"", ""tomato"", ""onion"", ""lemon juice"", ""mint"", ""salt black pepper""]","[""cucumber"", ""tomato"", ""onion"", ""mint""]",6,4,"Mix cucumbers, tomato, onion, lemon juice, mint, salt, and pepper together in a bowl.","[""mix""]",0.48278353,0.5487469,0.10899065
Appalachian Slaw,Low Calorie,Low-Calorie Salads,"[""4 cups chopped cabbage"", ""1 tomato, chopped"", ""\u00bd cucumber, chopped"", ""\u00bd cup chopped onion"", ""1 tablespoon sugar"", ""1 teaspoon salt"", ""\u00bd teaspoon ground black pepper"", ""1 tablespoon mayonnaise""]","[""In a large bowl, stir together the cabbage, tomato, cucumber, onion, sugar, salt, pepper and mayonnaise. Add additional mayonnaise to suit your taste.""]",8,1,appalachian slaw,"[""cabbage"", ""tomato"", ""cucumber"", ""onion"", ""sugar"", ""salt"", ""black pepper"", ""mayonnaise""]","[""cabbage"", ""tomato"", ""cucumber"", ""onion""]",8,4,"In a large bowl, stir together the cabbage, tomato, cucumber, onion, sugar, salt, pepper and mayonnaise. Add additional mayonnaise to suit your taste.","[""stir"", ""add""]",0.47689167,0.53778195,0.1318467
Tomato Cucumber Salad,Healthy Recipes,Healthy Salads,"[""2 ripe tomatoes, chopped"", ""1 cucumber, peeled and diced"", ""1 small white or red onion, chopped"", ""1 tablespoon lemon juice or to taste"", ""salt and ground black peper to taste""]","[""Gather all ingredients."", ""Combine tomatoes, cucumber, and onion in a salad bowl. Sprinkle with lemon juice and season with salt and black pepper; toss until well combined."", ""Cover and chill salad in the refrigerator until ready to serve.""]",5,3,tomato cucumber salad,"[""tomato"", ""cucumber"", ""onion"", ""lemon juice"", ""salt black peper""]","[""tomato"", ""cucumber"", ""onion"", ""salt black peper""]",5,4,"Gather all ingredients. Combine tomatoes, cucumber, and onion in a salad bowl. Sprinkle with lemon juice and season with salt and black pepper; toss until well combined. Cover and chill salad in the refrigerator until ready to serve.","[""combine"", ""season"", ""chill""]",0.47427502,0.53778195,0.11440231
Cucumber Salad,Labor Day,Labor Day Salads,"[""4 cucumbers, thinly sliced"", ""1 small white onion, thinly sliced"", ""1 cup white vinegar"", ""\u00be cup white sugar"", ""\u00bd cup water"", ""1 tablespoon dried dill, or to taste""]","[""Gather the ingredients."", ""Toss sliced cucumbers and onion together in a large bowl. Set aside."", ""Combine vinegar, sugar, and water in a saucepan over medium-high heat; bring to a boil; pour over cucumbers and onions in the bowl. Stir in dill. Cover and let marinate in the refrigerator for at least 1 hour before serving.""]",6,3,cucumber salad,"[""cucumber"", ""onion"", ""white vinegar"", ""white sugar"", ""water"", ""dill""]","[""cucumber"", ""onion"", ""white vinegar"", ""white sugar"", ""dill""]",6,5,"Gather the ingredients. Toss sliced cucumbers and onion together in a large bowl. Set aside. Combine vinegar, sugar, and water in a saucepan over medium-high heat; bring to a boil; pour over cucumbers and onions in the bowl. Stir in dill. Cover and let marinate in the refrigerator for at least 1 hour before serving.","[""toss"", ""boil"", ""stir"", ""cover""]",0.47423324,0.53612155,0.1235325
Cucumber Slices with Dill,Labor Day,Labor Day Salads,"[""4 large cucumbers, sliced"", ""1 onion, thinly sliced"", ""1 tablespoon dried dill weed"", ""1 cup white sugar"", ""\u00bd cup white vinegar"", ""\u00bd cup water"", ""1 teaspoon salt (Optional)""]","[""Combine cucumbers, onion, and dill in a large serving bowl."", ""Combine sugar, vinegar, water, and salt in a medium bowl; stir until sugar dissolves."", ""Pour vinegar mixture over cucumber mixture. Cover the bowl and refrigerate for at least 2 hours before serving""]",7,3,cucumber slices with dill,"[""cucumber"", ""onion"", ""dill weed"", ""white sugar"", ""white vinegar"", ""water"", ""salt""]","[""cucumber"", ""onion"", ""dill weed"", ""white sugar"", ""white vinegar""]",7,5,"Combine cucumbers, onion, and dill in a large serving bowl. Combine sugar, vinegar, water, and salt in a medium bowl; stir until sugar dissolves. Pour vinegar mixture over cucumber mixture. Cover the bowl and refrigerate for at least 2 hours before serving","[""combine"", ""combine"", ""pour"", ""cover""]",0.45924845,0.51744986,0.12944037
